職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
大數據分析師,暉曄生技社股份有限公司,40000.0,3年以上,"1. 善用統計或資料分析軟體，彙整內外部資料，挖掘營運數據，協助市場戰略團隊提出市場運營策略。
2. 藉由統計分析方法，協助規劃公司使用的報表，建立營運預測模型，作為商業決策重要參考依據。","1. 具備獨立思考、邏輯分析能力優，且熟悉至少一種統計或資料分析軟體 (如R, Excel等)。
2. 對資料具高度敏感性與熱情，勇於提出自己的看法。
3. 具備良好表達與溝通能力，且擅長報表、圖表、簡報之分析工具使用 (如PowerPoint, Tableau等)。
4. 具團隊合作能力，且能適應快速變動的工作步調。",,藥品／化妝品及清潔用品零售業,3
大數據分析師,國泰世紀產物保險股份有限公司,31000.0,經歷不拘,"1.進行巨量資料之數據梳理。
2.透過統計分析、機器學習、深度學習等方法，將結果應用於解決業務問題。",1.熟悉R、Python 、SAS等相關分析軟體2.具SQL基礎知識3.具機器學習、文字探勘等相關經驗,,產物保險業,0
大數據分析專員,露比午茶_秀軒事業股份有限公司,32000.0,1年以上,"1. 電商數據資料收集挖掘、應用與架構優化。 
2. 標籤(Hashtag)建置管理。 
3. 建立分析數據指標並發掘問題，解讀數據後，提供營運上分析觀察與建議。
4. 負責大數據相關專案之規劃與推動。
5. 會員數據分析與經營。 

具相關工作經驗者可再議薪。",具一年以上大數據規劃分析相關經驗；具電商相關工作經驗者佳。 
具備快速理解資料邏輯的能力。
具備對資料分析結果做行銷解讀或應用經驗。
善於使用各類數據分析工具。
具相關工作經驗者可再議薪。
執行任務具使命感，能夠獨立作業。
若有過去執行的案例、優化績效或作品等，面試提供參考尤佳,,鞋類／布類／服飾品零售業,1
大數據分析人員,第一銀行_第一商業銀行股份有限公司,40000.0,1年以上,"1.數據分析與挖掘
2.負責大數據相關專案之規劃與推動
3.跨單位協調與溝通銀行現有業務加入大數據應用
4.開發與維護創新預測模型
5.研發人工智慧分析、巨量資料分析、資料分析、機器學習、統計分析等相關技術，並導入金融科技場域",1.國內、外大學(含)以上學校畢業2.具數據分析相關經驗3.具數據建模1年(含) 以上相關工作經驗4.熟悉SAS、R、Python等任一分析工具5.了解金融業與數據運用方法6.具專案規劃、系統規劃導入經驗者尤佳7.具商業、資訊背景尤佳8.具演算法或機器/深度學習等數據建模能力尤佳9.具良好溝通能力、思考邏輯清晰、個性正面積極、具高度抗壓性10.可於2019年農曆春節後報到11.經錄取後，如有下列情形之一經查證屬實者，將不予分發進用或予以解僱：　(1)曾經第一銀行免職、解僱、資遣者。　(2)曾服公職有貪污行為經判決確定或通緝有案尚未結案者。　(3)犯侵佔、背信、詐欺罪經判決確定或通緝有案尚未結案者。　(4)犯前二款以外之罪，經受有期徒刑以上刑之宣告者，或經通緝在案尚未結案者。　(5)受監護或輔助之宣告，尚未撤銷者。　(6)有重大喪失債信情事尚未了結者。　(7)主管機關或其他有關機關頒布法令限制僱用者。　(8)報考資格不實或涉及不誠信或法令規定不當之行為者。12.詳細招募訊息，請詳閱本行招募簡章：https://www.firstbank.com.tw/servlet/Satellite?blobcol=urldata&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3DDownloadFile_bigdata.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobnocache=true&blobtable=MungoBlobs&blobwhere=1473821968014&ssbinary=true, Python R SAS,銀行業,1
大數據工程師,安心徵信社_安心國際專業徵信有限公司,32000.0,經歷不拘,"1.資料搜集，之後的是分析，最重要的是策略運用。(資料分析 資料科學 資料架構 策略規劃)
2.設計資料之結構，規劃各種通訊資料之整合，以利資料庫正常運作
3.研訂資料及人員之保密區分、資訊安全管理
4.支援應用程式設計工作
5.維持資料庫的正常運作，加強資料庫的安全管理，以防止駭客或有心人士入資料庫
6.具備解決問題的能力
7.有一定的知識理論基礎、清晰的邏輯、實驗精神、與人溝通合作的能力
8.而且比起解決問題，還必須要會發現問題地能力

發展遠景：應徵前請先瞭解本公司。
www.relieved.com.tw
www.菁英徵信社.tw
www.elite007.com.tw
www.vwedding.com.tw

本公司致力於突破目前民眾對於徵信社的負面觀感，

目前本公司股東成員已經有兩位律師、一位上市公司CFO、一位準諮商心理師(碩士攻讀中)

還有各界對匡正徵信調查風氣有興趣且再本公司看到成果的投資人~

並且有全省共30家律師事務所及北中南各科學園區公司人資部及法務部

皆指名調查案件委任本公司，舉凡案件訴訟證據收集、員工股東競業禁止條款蒐證、

公司合作前風險評估DD調查，都是本公司強項，外遇抓姦更不在話下了。

來這裡上班一定可以學到東西，起碼不會變成壞小孩...

這邊可以學到什麼一技之長：

1、解決問題的方法。(而且是你從來沒想過的方向)

2、高度的耐心。(跟監等待需要耐心、跟另外一半有外遇的客戶溝通更需要無比的耐心)

3、法律方面和心理學方面的知識。(公司有律師和準諮詢心理師)

4、開車技術一定會變好，把汽車當機車在鑽是基本。

5、一心多用，活化你的大腦...達成舉一反八的人生成就。
成就樂趣：安心專業徵信社 (Relieved.com.tw) 雖不比其他家徵信業者的〝大〝型規模。
但卻是國內唯一具有許多正面新聞且從未與客戶有任何消費糾紛的正派合法徵信社！

我們期望擁有專業知識卻不想埋沒的您的加入。
安心專業徵信社 (Relieved.com.tw) 擁有最強的徵信團隊，我們的同仁皆受過專業的教育訓練，且我們願意將獲利回饋給與我們共同奮戰的夥伴們，每年平均總體調薪幅度都超過8％以上！《徵信社工作》是同業之冠！

我們希望走出國內徵信社，並朝亞洲區徵信社龍頭為目標，公司內部不乏英、日、法各國留學回來之企圖性高之同仁。

不僅如此，我們擁有最強大的公司體制，
公司內部充滿人情味；交通方便且充滿設計感的辦公環境；不斷培訓同仁專業技能的培訓；
PS:每半年員工旅遊一次(國內)，一年一次員工旅遊(國外)，公司聚餐跟看電影社交都是常有的事不多說。

我們喜歡有衝勁、善良、負責任之同仁。
如果您看到這裡，對我們的公司很感興趣，請投下您的履歷吧!",未填寫,,徵信相關業,0
大數據工程師,動力安全資訊股份有限公司,30000.0,經歷不拘,"透過Big Data相關的技術，結合雲端服務，分析網路、作業系統、資訊安全事件、應用系統、電子商務，從資料中發掘價值，協助企業營運及發展。
這份工作的內容，包括整體系統的規劃及建置、資料分析、各種世界級解決方案的整合應用、程式的開發撰寫，雲端服務的整合應用；會接觸到的產業，主要包括金融業、高科技業及政府單位。因此，除了技術本身的發展以外，您可以透過這份工作，累積各種Domain Knowledge。
無論您是否具有相關經驗(大數據、程式撰寫、系統、網路、資安等等)，只要有志朝Big Data專業領域發展，我們誠摯地邀請您一起共創未來！",1.須接受過程式語言的基礎訓練，.NET、Java、Python擇一即可。
2.懂資料庫概念及SQL語法佳。
3.熟悉JavaScript及CSS佳。,,電腦系統整合服務業,0
大數據產品專員,STORM CRM Consulting Inc._伺動行銷科技股份有限公司,40000.0,2年以上,"1. 提供產品市場需求分析，同類產品市場動態資料的收集、整理、分析，撰寫 MRD、PRD
2. 根據產品需求，撰寫詳細的產品流程設計文件，產品介面及原型設計文件
3. 負責部門之間的協調溝通，確保產品從概念設計、開發到上線如期順利完成。
4. 參與測試工作，掌握測試結果，跟蹤問題解決。
5. 负责进行产品详细特性规划和产品设计，并协助开发团队了解和掌握需求；引导设计师完成产品的界面设计，確保产品的开发进度以及品質
6. 收集使用者回馈，分析使用者行为及需求，对公司产品进行持续的优化和改进
7. 關注市場動態以及客戶對於產品的反饋，定期對產品、市場、競品進行分析，並提出功能改善方案，提出新產品計畫。","1. 1 年以上 web-based 產品管理經驗
2. 優秀的分析和解決問題能力，擁有良好的邏輯、洞察力以及創新精神
3. 具市場調查，需求分析能力，專案管理以及執行力
4. 能獨立完成產品原形的設計，跨部門合作推動和協調產品開發
5. 熟練 Visio, Project, MindManager, Axure 等軟體，能獨立完成功能原型設計與 PRD 文件
6. 具有獨立管理規劃產品的能力",,廣告行銷公關業,2
大數據庫工程師,世界先進積體電路股份有限公司,40000.0,經歷不拘,"1. Hadoop大數據庫安裝、管理與維護。
2. 設計RDBMS、Files 與Hadoop 間的資料交換機制。
3. 協助 AI應用工程師進行數據庫存取端的效能調校。
4. SQL/No SQL 之 ETL(Extract, Transform, Loading)之程式撰寫。
5. 協同Infrastructure team 進行伺服器設備的架設與維護。",1. 具 Hadoop 數據庫安裝及管理經驗1年以上。2. 熟悉 Hadoop 相關應用及管理架構。3. 熟悉 SQL/NoSQL 及ETL程式撰寫。4. 具關聯式資料庫(Oracle/MS SQL)管理經驗者尤佳。,,半導體製造業,0
10R0 大數據中心-大數據工程師,中國醫藥大學附設醫院,36000.0,1年以上,"1. 機器學習/深度學習於醫學影像相關開發應用。
2. 深度學習模型設計與實作。
3. 醫學影像處理與資料清理。
4. 建立影像標記模式。
","1.	具備深度學習相關框架(Tensorflow, Theano, Keras等)經驗。
2.	熟悉Linux開發環境。
3.	熟悉OpenCV技術。
4.	具有良好的溝通能力，且能持續增進工作技能。", Python 文書處理軟體操作,醫院,1
大數據行銷工程師,飛鳥車用電子股份有限公司,40000.0,2年以上,"1. 資料挖掘及搜集網頁資料，取得大數據
2. 對產品使用者行為進行分析、找出潛在客戶，並企劃有效行銷活動、主動出撀。
3. 推廣公司現有品牌、產品以及公司整體的形象，並負責相關文宣資料的規劃與製作。
",需有大數據相關工作經驗者。,,汽車及其零件製造業,2
