職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
AI大數據分析規劃顧問,思華科技有限公司,40000.0,3年以上,"1. 以 C++ / Python 語言開發人工智慧演算法：主要聚焦在機器學習、類神經網路等。 
2. 規劃電子商務產品方向，主要運用機器學習或深度學習方式來解決客戶痛點與開發線上交易商品。
3. 以數據資料庫來分析高風險用戶使用行為，降低客戶風控成本。",1. 具備3年以上主管經驗，可立即組建團隊者優先任用2. 具規劃產品架構及商品化含圖像內文字識別、AI對話決策的經驗3. 具電子商務、線上支付相關產業者佳, C++ Python,電腦軟體服務業,3.0
智能大數據研發總監,昱峰智能大數據科技股份有限公司,40000.0,經歷不拘,"1. 智能大數據的整體解決方案
2. 智能大數據系統設計 規劃 執行 管理

PS.歡迎誠信負責主動積極有挑戰精神為首選",具半導體經驗了解半導體製程有處理過良率改善經驗, Java Matlab Python R ANSI SQL MS SQL,電腦軟體服務業,0.0
大數據 / 機器學習 / AI 程式設計師,台灣恩悌悌數據股份有限公司,40000.0,經歷不拘,"1. 大數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 熟悉預測方法、發展推薦演算法  
3. 能跨部門(工程/商務等)良好溝通，設計並規劃機器學習演算法的商品化。 
4. 能持續學習機器學習相關演算內容，並能評估演算法可能的應用範圍。

對大數據、AI、機器學習研究有熱情
● 擅長使用至少一種程式語言( 如: Python、Java, C/C++.....等，或AI開發套件: TensorFlow, Caffee.....等) 
● 獨立工作與具備研究熱忱及具團隊合作 
● 對 AI 平台開發有興趣者，具有 AI 平台開發經驗尤佳 ","擅長 Tensorflow, Microsoft Cognitive Toolkit, Matlab, Hadoop, Spark ML 等工具者佳",,工商顧問服務業,0.0
大數據及AI人工智慧工程師,宏遠興業股份有限公司,28000.0,3年以上,"以大數據及AI人工智慧的應用,提升企業績效",NA,,紡紗業,3.0
行政_大數據/AI開發工程師,中國信託商業銀行股份有限公司,40000.0,3年以上,"1.負責大數據/深度學習應用設計與開發
2.使用者需求討論、設計大數據/AI 應用解決方案與技術實作
3.掌握大數據應用與AI Framework技術趨勢，據以提出創新解決方案","1. 熟悉AI Framework 如Tensorflow/caffe等，具3年以上相關經驗2. 熟悉自然語言多輪交互設計，具流程引擎開發或維護經驗3. 熟悉data services、micro services設計開發4. 熟悉Hadoop/Cloudera，具3年以上相關開發經驗5. 具Python, Machine Learning, Apache Spark, Sci-kit及敏捷(Agile)開發流程6. 工作積極主動、具有強烈的責任心、團隊合作與溝通能力，並對複雜業務邏輯能快速理解並轉化為技術需求。7. 具Hadoop相關證照尤佳。8. 熟悉AWS/GCP架構規劃及應用經驗尤佳。",,銀行業,3.0
AI/大數據/機器學習 博士後研究員,國立交通大學_生科院生物科技學系,40000.0,經歷不拘,"【徵才條件】
1.	具資訊工程、生物資訊相關系所之博士畢業者。
2.	獨立研究與具備研究熱忱及具團隊合作。
3.	對AI、精準醫藥平台、機器學習、創業、與創新研究有熱情的您。
4.	擅長使用至少一種程式語言( 如:python、C\C++、PHP等，或AI開發相關套件:TensorFlow、Keras、PyTorch等)
5.	對AI平台開發有興趣者，具有AI平台開發經驗尤佳。
6.	具有創業意願，喜歡學習與創新。

【實驗室介紹】 
交通大學楊進木教授實驗室 [本研究團隊以計算結構藥物設計及計算結構系統生物為核心，結合化學、物理、統計、生物化學與臨床醫學為主軸，探討生命科學的基本問題，建立藥物－蛋白質－生化途徑－細胞行為(疾病機制)的關係，進而建立基礎研究-轉譯醫學-產業的連結。本團隊提出「智慧計算精準醫藥平台」獲得科技部「AI創新研究中心專案計畫」通過。本實驗室過去已開發至少10項以上核心技術及累積大量系統生物及結構生物知識庫並具多國發明專利，其中藥物篩選軟體GEMDOCK及iGEMDOCK 是計算藥物篩選領域中常被使用的軟體之一，同時此軟體也獲得國家新創獎。本團隊已與超過30 國內外實驗室進行合作研究，包含藥廠、教學醫院/醫學中心等，共15 個國家型機構。在產業上，本團隊於104年主持生技及醫藥服務平台於生技產品開發，並榮獲科技部「績優產學小聯盟」。]
參考相關網址:楊進木教授實驗室網址
http://bioxgem.life.nctu.edu.tw/bioxgem/index.php

【工作內容】 
1.	協助執行科技部「AI創新研究中心」研究計畫。
2.	協助開發「智慧計算精準醫藥平台」。
3.	工作項目包括資料分析、程式設計、整合測試之AI平台開發。
4.	協助督導研究計畫的執行。
5.	協助撰寫研究報告。

【工作職缺】 
博士後研究員1人

【徵才單位】 交通大學生資所楊進木教授「BioXGEM: 藥物設計與系統生物實驗室」",未填寫, C C++ Perl PHP Python 系統架構規劃 軟體程式設計,大專校院教育事業,0.0
大數據/AI開發工程師- 208KC,萬寶華企業管理顧問股份有限公司,40000.0,5年以上,"1.負責大數據/深度學習應用設計與開發
2.使用者需求討論、設計大數據/AI 應用解決方案與技術實作
3.掌握大數據應用與AI Framework技術趨勢，據以提出創新解決方案

Please forward your C.V. to kelly.chen@manpowertw.com.tw","1. 熟悉AI Framework 如Tensorflow/caffe等，具3年以上相關經驗2. 熟悉自然語言多輪交互設計，具流程引擎開發或維護經驗3. 熟悉data services、micro services設計開發4. 熟悉Hadoop/Cloudera，具3年以上相關開發經驗5. 具Python, Machine Learning, Apache Spark, Sci-kit及敏捷(Agile)開發流程6. 工作積極主動、具有強烈的責任心、團隊合作與溝通能力，並對複雜業務邏輯能快速理解並轉化為技術需求。7. 具Hadoop相關證照尤佳。8. 熟悉AWS/GCP架構規劃及應用經驗尤佳",,人力仲介代徵,5.0
(科政中心-熟悉AI人工智慧或大數據領域) 博士計畫人員(10651),財團法人國家實驗研究院,62000.0,經歷不拘,"學歷要求:具博士學位
聘用期間:依計畫期程
工作內容:
1.具備執行科技部大型研究案專案經驗或有科技部門專案企劃經驗者； 
2.熟知政府科技計畫政策規劃與管考機制流程
3.執行主管交辦

其他條件:
1.熟悉AI人工智慧或大數據領域(理工背景佳)
2.具備下列一種技術研究或發展經驗尤佳: AI人工智慧(機器學習、深度學習、自然語言處理等) 、自駕車及大數據分析
3.具英語口語溝通及書寫能力
4.具有多元思維、國際視野和創新能力
5.具獨立作業良好能力及緊急事務處理之應變能力
6.曾執行政府計畫者尤佳；
7.具備政府專案管理經驗尤佳",未填寫,,政府／民意機關,0.0
(科政中心) 人工智慧、資訊安全、自駕車或大數據相關領域碩士以上計畫人員10766,財團法人國家實驗研究院,40000.0,經歷不拘,"1.執行大挑戰活動執行及規劃
2.甄選審查及相關行政作業事宜
3.活動官網及相關消息管理及發佈
4.計畫執行及管考事宜
5.支援臨時交辦事項",NA,,政府／民意機關,0.0
政府計畫：博士研發人才(專長：區塊鏈/金融科技/人工智慧/聊天IM機器人/機器學習/資料探勘/大數據；Blockchain/ICO/Fintech/AI/Chatbot/Data Mining/Big Data),環球睿視股份有限公司,40000.0,經歷不拘,"環球睿視公司UbeStream Inc.為台北市政府推薦台灣創櫃板輔導公司，位於台北市內湖科技園區洲子街(近文湖線捷運港墘站)；環球睿視由資料探勘領域之博士領軍創辦，現歡迎具下列開發經驗之演算法程式開發專才(此為政府計畫職缺，提供博士人才申請)加入研發：

若您具有以下任一相關專長之演算法及程式編寫能力經驗
1. Bolckchain 區塊鏈 (具區塊鏈、智慧合約 Smart Contract 應用開發經驗者佳)
2. 數據挖礦 (具加密數位貨幣或數位資產之研發與開發經驗者佳)
3. Fintech 金融科技 (具ICO、P2P跨境匯款/借貸融資之研發開發經驗者佳)
4. AI人工智慧 (具Machine Learning機器學習、Deep Learning深度學習之專長與開發經驗)
5. Chatbot (聊天機器人應用領域開發)
6. Data Mining 資料探勘 (Text/Graph/Visual/Patent Mining、information Retrieval、informetrics、Bioinformatics等)
7. Big Data 大數據分析

相關技能(有為佳，無亦可)：
1. 具RWD Web網頁前後端(全端)程式或電腦/手機APP應用程式與資料庫開發能力與經驗
2. 具Azure(或AWS/GCP)上之網站與APP應用程式開發佈署經驗能力
3. APP在Android/iOS應用程式商店送審與上架經驗

若您具有以上任一研發專長經驗，歡迎把握機會申請晤談，與本團隊共同發展數據科學商業化應用；本公司目前已規劃股票掛牌，表現績優夥伴將有股票認股配股或選擇權機會。",未填寫, R MS SQL MySQL OLAP Oracle PostgreSQL HTML Data Architect Data Marts 軟體程式設計 網路程式設計 資料庫系統管理維護 資料庫程式設計 資料庫軟體應用 系統架構規劃與維護 使用者介面設計 網頁語法撰寫,網際網路相關業,0.0
